Name,Gender,House,Season,Total
Missandei,Female,,8,34
Ellaria Sand,Female,,1,0
Ellaria Sand,Female,,2,0
Ellaria Sand,Female,,3,0
Ellaria Sand,Female,,4,122
Ellaria Sand,Female,,5,311
Ellaria Sand,Female,,6,136
Ellaria Sand,Female,,7,142
Ellaria Sand,Female,,8,0
Tommen Baratheon,Male,Baratheon,1,0
Tommen Baratheon,Male,Baratheon,2,26
Tommen Baratheon,Male,Baratheon,3,0
Tommen Baratheon,Male,Baratheon,4,207
Tommen Baratheon,Male,Baratheon,5,405
Tommen Baratheon,Male,Baratheon,6,756
Tommen Baratheon,Male,Baratheon,7,0
Tommen Baratheon,Male,Baratheon,8,0
Jaqen H'ghar,Male,,1,0
Jaqen H'ghar,Male,,2,611
Jaqen H'ghar,Male,,3,0
Jaqen H'ghar,Male,,4,0
Jaqen H'ghar,Male,,5,539
Jaqen H'ghar,Male,,6,315
Jaqen H'ghar,Male,,7,0
Jaqen H'ghar,Male,,8,0
Roose Bolton,Male,Bolton,1,0
Roose Bolton,Male,Bolton,2,293
Roose Bolton,Male,Bolton,3,351
Roose Bolton,Male,Bolton,4,292
Roose Bolton,Male,Bolton,5,725
Roose Bolton,Male,Bolton,6,238
Roose Bolton,Male,Bolton,7,0
Roose Bolton,Male,Bolton,8,0
The High Sparrow,Male,,1,0
The High Sparrow,Male,,2,0
The High Sparrow,Male,,3,0
The High Sparrow,Male,,4,0
The High Sparrow,Male,,5,1189
The High Sparrow,Male,,6,1515
The High Sparrow,Male,,7,0
The High Sparrow,Male,,8,0
Grey Worm,Male,,1,0
Grey Worm,Male,,2,0
Grey Worm,Male,,3,67
Grey Worm,Male,,4,289
Grey Worm,Male,,5,135
Grey Worm,Male,,6,347
Grey Worm,Male,,7,153
Grey Worm,Male,,8,242
Robin Arryn,Male,Arryn,1,56
Robin Arryn,Male,Arryn,2,0
Robin Arryn,Male,Arryn,3,0
Robin Arryn,Male,Arryn,4,255
Robin Arryn,Male,Arryn,5,0
Robin Arryn,Male,Arryn,6,26
Robin Arryn,Male,Arryn,7,0
Robin Arryn,Male,Arryn,8,1
Yohn Royce,Male,,1,71
Yohn Royce,Male,,2,0
Yohn Royce,Male,,3,0
Yohn Royce,Male,,4,0
Yohn Royce,Male,,5,59
Yohn Royce,Male,,6,90
Yohn Royce,Male,,7,95
Yohn Royce,Male,,8,24
Anya Waynwood,Female,,1,0
Anya Waynwood,Female,,2,0
Anya Waynwood,Female,,3,0
Anya Waynwood,Female,,4,0
Anya Waynwood,Female,,5,0
Anya Waynwood,Female,,6,0
Anya Waynwood,Female,,7,0
Anya Waynwood,Female,,8,0
Lysa Arryn,Female,Arryn,1,417
Lysa Arryn,Female,Arryn,2,0
Lysa Arryn,Female,Arryn,3,0
Lysa Arryn,Female,Arryn,4,835
Lysa Arryn,Female,Arryn,5,0
Lysa Arryn,Female,Arryn,6,0
Lysa Arryn,Female,Arryn,7,0
Lysa Arryn,Female,Arryn,8,0
Myrcella Baratheon,Female,Baratheon,1,5
Myrcella Baratheon,Female,Baratheon,2,36
Myrcella Baratheon,Female,Baratheon,3,0
Myrcella Baratheon,Female,Baratheon,4,0
Myrcella Baratheon,Female,Baratheon,5,228
